# Nek5000 Aggregate throughput using six different approaches
# TP = time partitioning
# DC1,2,3 = using 1, 2 or 3 dedicated core(s)
# DC2,3,5 = using 2, 3 or 5 dedicated nodes
# Approach	Average throughput	Min Throughput	Max Throughput
TP		73.46256599071553       51.97761381432798       99.20708176586619
DC(1)		337.588751562952        314.16128075437246      354.4552984660835
DC(2)		326.9369665241824       317.6102354215198       335.7164470110791
DC(3)		321.14901199583204      314.5214958090483       336.1467849454432
DN(14:1)		169.15096199272318      155.8120780544578       179.15864535440954
DN(9:1)		222.8179577773761       207.8977151298586       242.04524963098896
DN(5:1)		218.74242420542245      184.3081553563782       249.13443036340274
