# Nek5000 Run time using six different approaches
# TP = time partitioning
# DC1,2,3 = using 1, 2 or 3 dedicated core(s)
# DC2,3,5 = using 2, 3 or 5 dedicated nodes
# Approach	Run time		Average Iteration	Min			Max
TP		1403.748050928116	155.87421231799655      107.57753396034241      188.83274483680725
DC(1)		849.7779610157013	93.87202299965753       68.62959098815918       124.59072494506836
DC(2)		868.5475389957428	95.80731675359938       70.3129210472107        127.58034110069275
DC(3)		881.0694930553436	96.39272456698947       70.21388912200928       128.33896899223328
DN(14:1)	833.0156078338623	91.71953177452087       64.67896389961243       123.6845350265503
DN(9:1)		845.7412271499634	93.16615623897977       68.86123704910278       122.68737697601318
DN(5:1)		824.9924230575562	91.06339012251959       66.20797491073608       121.40723705291748
