# Nek5000 % of I/O time using five different approaches
# DC1,2,3 = using 1, 2 or 3 dedicated core(s)
# DC2,3,5 = using 2, 3 or 5 dedicated nodes
# Approach	% I/O time		% spare time
DC(1)		10.082902691015278	89.91709730898472
DC(2)		10.262761109121865	89.73723889087813
DC(3)		10.414234411268858	89.58576558873114
DN(14:1)		21.13882809127949	78.86117190872051
DN(9:1)		13.440358470716689	86.55964152928331
DN(5:1)		14.318319159181284	85.68168084081871
